Postcode,Suburb,State,LS_Accounts,LS_Value,Population,LS_Accounts_Per_Person,LS_Value_Per_Person,Tax_Population,Tax_Median_Income,Tax_Mean_Income
1000,,,4,39096.72,,,,,,
1001,,,3,111534.99,,,,,,
1010,,,1,6029.73,,,,,,
1021,,,1,12479.15,,,,,,
1041,,,2,13132.8,,,,,,
1043,,,1,7583.22,,,,,,
1050,,,1,9507.06,,,,,,
1072,,,1,5064.12,,,,,,
1100,,,1,11632.28,,,,,,
1111,,,34,305112.41,,,,,,
1121,,,1,11135.98,,,,,,
1176,,,1,4203.56,,,,,,
1181,,,1,5131.17,,,,,,
1195,,,1,7362.14,,,,,,
1208,,,1,19771.61,,,,,,
1213,,,2,9543.79,,,,,,
1215,,,4,82685.94,,,,,,
1220,,,5,90532.68,,,,,,
1225,,,13,224161.52,,,,,,
1230,,,15,690892.45,,,,,,
1231,,,1,125.06,,,,,,
1235,,,29,552427.87,,,,,,
1240,,,33,651639.78,,,,,,
1298,,,2,55585.11,,,,,,
1300,,,15,281162.9,,,,,,
1335,,,8,116289.5,,,,,,
1340,,,36,481821.43,,,,,,
1350,,,4,202016.29,,,,,,
1355,,,32,450561.97,,,,,,
1360,,,4,81753.57,,,,,,
1363,,,3,10758.88,,,,,,
1420,,,2,4247.98,,,,,,
1430,,,1,71037.04,,,,,,
1435,,,5,72049.06,,,,,,
1445,,,5,60444.22,,,,,,
1450,,,2,10652.71,,,,,,
1455,,,2,14062.65,,,,,,
1456,,,1,5267.64,,,,,,
1460,,,4,53039.19,,,,,,
1465,,,18,265799.2,,,,,,
1466,,,1,12613.25,,,,,,
1470,,,8,120999.03,,,,,,
1475,,,17,197533.24,,,,,,
1480,,,7,87136.85,,,,,,
1481,,,29,720819.05,,,,,,
1485,,,19,278927.43,,,,,,
1490,,,7,334181.2,,,,,,
1493,,,6,197222.76,,,,,,
1495,,,4,131139.35,,,,,,
1499,,,5,65247.13,,,,,,
1515,,,5,130119.53,,,,,,
1560,,,1,33239.28,,,,,,
1565,,,4,98113.49,,,,,,
1570,,,4,144776.38,,,,,,
1582,,,1,18202.05,,,,,,
1585,,,8,82853.73,,,,,,
1590,,,10,90924.12,,,,,,
1595,,,6,43871.05,,,,,,
1597,,,1,5090.86,,,,,,
1619,,,1,11321.2,,,,,,
1630,,,6,93352.83,,,,,,
1635,,,4,35056.62,,,,,,
1655,,,9,309804.6,,,,,,
1660,,,7,69136.08,,,,,,
